▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.14:3000
- Environments: .env
✓ Ready in 1223ms
✓ Running next.config.ts took 48ms

 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 9ms, proxy.ts: 10ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 51ms (next.js: 8ms, proxy.ts: 8ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 46ms (next.js: 5ms, proxy.ts: 10ms, application-code: 32ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 53ms (next.js: 7ms, proxy.ts: 9ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 8ms, proxy.ts: 8ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 61ms (next.js: 8ms, proxy.ts: 10ms, application-code: 43ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 74ms (next.js: 7ms, proxy.ts: 12ms, application-code: 56ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 65ms (next.js: 8ms, proxy.ts: 9ms, application-code: 47ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 7ms, proxy.ts: 11ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 59ms (next.js: 8ms, proxy.ts: 10ms, application-code: 42ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 8ms, proxy.ts: 9ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 10ms, proxy.ts: 10ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 70ms (next.js: 6ms, proxy.ts: 9ms, application-code: 56ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 7ms, proxy.ts: 15ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 57ms (next.js: 6ms, proxy.ts: 10ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 50ms (next.js: 6ms, proxy.ts: 10ms, application-code: 34ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 49ms (next.js: 9ms, proxy.ts: 9ms, application-code: 31ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 51ms (next.js: 7ms, proxy.ts: 10ms, application-code: 34ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 51ms (next.js: 6ms, proxy.ts: 9ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 48ms (next.js: 6ms, proxy.ts: 9ms, application-code: 32ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 6ms, proxy.ts: 9ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 59ms (next.js: 7ms, proxy.ts: 10ms, application-code: 42ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 61ms (next.js: 8ms, proxy.ts: 11ms, application-code: 42ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 45ms (next.js: 5ms, proxy.ts: 8ms, application-code: 33ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 60ms (next.js: 6ms, proxy.ts: 10ms, application-code: 44ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 55ms (next.js: 9ms, proxy.ts: 14ms, application-code: 32ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 7ms, proxy.ts: 9ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 53ms (next.js: 6ms, proxy.ts: 9ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 48ms (next.js: 6ms, proxy.ts: 10ms, application-code: 33ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 45ms (next.js: 7ms, proxy.ts: 9ms, application-code: 30ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 45ms (next.js: 6ms, proxy.ts: 8ms, application-code: 31ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 45ms (next.js: 5ms, proxy.ts: 7ms, application-code: 33ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 50ms (next.js: 5ms, proxy.ts: 8ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 46ms (next.js: 5ms, proxy.ts: 10ms, application-code: 31ms)
[?25h
